,taget_domain,architecture,pretrained,augmented,test_loss,test_accuracy,i
91,sketch,ResNet18,True,True,0.984691764281048,0.6375668108933571,0
92,art_painting,ResNet18,False,True,2.4270172752439976,0.296875,3
93,art_painting,ResNet50,True,True,0.36480276845395565,0.88134765625,0
94,art_painting,ResNet50,False,False,1.8278742656111717,0.271484375,1
95,cartoon,ResNet18,False,False,2.609219216011666,0.2901023890784983,1
96,cartoon,ResNet18,True,True,0.81810287043855,0.6898464163822525,0
97,art_painting,ResNet18,False,True,2.211604865267873,0.28564453125,2
98,sketch,ResNet50,False,True,1.3988312652440575,0.4759480783914482,0
99,cartoon,ResNet50,False,False,1.7743081273259342,0.20776450511945393,1
100,sketch,ResNet50,False,False,1.836278217594798,0.24535505217612624,3
101,art_painting,ResNet50,True,False,0.5015625422820449,0.8486328125,1
102,cartoon,ResNet18,False,True,1.854449595953967,0.4052901023890785,3
103,sketch,ResNet50,False,False,1.9859003390723127,0.18961567828964113,0
104,photo,ResNet18,True,False,0.13357843397150063,0.9502994011976048,3
105,photo,ResNet18,False,True,1.3742465388100102,0.44491017964071855,0
106,photo,ResNet18,True,False,0.13669164503379813,0.9461077844311377,0
107,cartoon,ResNet18,False,True,1.56973789592047,0.4402730375426621,2
108,photo,ResNet18,False,False,1.4722194986523323,0.43293413173652695,3
109,photo,ResNet18,False,False,1.4775301420463707,0.4532934131736527,0
110,photo,ResNet50,True,False,0.10681470358779407,0.9574850299401197,3
111,sketch,ResNet18,False,True,1.6938417141999655,0.383049121913973,1
112,photo,ResNet18,True,True,0.13462213521717853,0.9532934131736527,3
113,art_painting,ResNet18,False,False,2.503066513687372,0.279296875,2
114,cartoon,ResNet18,False,False,2.292482993087253,0.2862627986348123,3
115,sketch,ResNet18,True,False,0.9628152159171376,0.6538559429880376,2
116,photo,ResNet50,True,False,0.10564043900472517,0.9574850299401197,2
117,cartoon,ResNet18,True,False,0.7190999151081652,0.7563993174061433,3
118,photo,ResNet50,False,True,1.5806270927753088,0.3994011976047904,3
119,art_painting,ResNet18,True,True,0.5413968088105321,0.8125,0
120,sketch,ResNet50,False,True,1.5073418728704375,0.46907610078900486,1
121,art_painting,ResNet18,True,False,0.5952112004160881,0.8095703125,2
122,art_painting,ResNet18,True,False,0.5775783390272409,0.8056640625,3
123,sketch,ResNet18,False,True,1.5349269858220729,0.4324255535759735,0
124,cartoon,ResNet18,True,True,0.8450622123640936,0.7090443686006825,3
125,cartoon,ResNet50,True,False,0.6909059213625418,0.765358361774744,0
126,art_painting,ResNet18,True,True,0.6390525158494711,0.7724609375,1
127,sketch,ResNet18,True,False,0.9568188384296449,0.6398574700941716,3
