,dataset_name,taget_domain,architecture,augmentations,test_loss,test_accuracy,i,tp,tn,fp,fn,auc-score,pretrained
43,camelyon_unbalanced,3,ResNet18,No Augmentations,1.8620904340774198,0.7136,1,20,1764,686,30,0.6861142857142857,False
44,camelyon_unbalanced,0,ResNet18,Augmix,0.24965816132629973,0.9556,1,43,2346,104,7,0.9719265306122449,False
45,camelyon_unbalanced,1,ResNet18,Augmix,0.9108886247194266,0.886,1,15,2200,250,35,0.6936081632653062,False
46,camelyon_unbalanced,2,ResNet18,Augmix,1.7612502457974832,0.8884,1,0,2221,229,50,0.2803428571428571,False
47,camelyon_unbalanced,3,ResNet18,Augmix,1.251027295106574,0.764,1,23,1887,563,27,0.7394367346938775,False
48,camelyon_unbalanced,0,ResNet18,Fourier,0.6441941480093365,0.7856,1,27,1937,513,23,0.7429469387755102,False
49,camelyon_unbalanced,1,ResNet18,Fourier,0.8191733540424818,0.8188,1,12,2035,415,38,0.6192897959183674,False
50,camelyon_unbalanced,2,ResNet18,Fourier,0.6697134952756423,0.9424,1,3,2353,97,47,0.46744489795918365,False
51,camelyon_unbalanced,3,ResNet18,Fourier,0.6288785825047312,0.7968,1,10,1982,468,40,0.6055346938775511,False
52,camelyon_unbalanced,0,ResNet18,Jigsaw,0.5179008427694037,0.9868,1,24,2443,7,26,0.9780081632653062,False
53,camelyon_unbalanced,1,ResNet18,Jigsaw,0.7897702198994311,0.768,1,22,1898,552,28,0.7089877551020408,False
54,camelyon_unbalanced,2,ResNet18,Jigsaw,2.5644131972840576,0.9776,1,0,2444,6,50,0.4103755102040817,False
55,camelyon_unbalanced,3,ResNet18,Jigsaw,1.6373015355460252,0.5844,1,39,1422,1028,11,0.6645714285714286,False
56,camelyon_unbalanced,2,ResNet18,Augmix and Fourier,0.554811130548957,0.858,0,17,2128,322,33,0.7317714285714286,False
57,camelyon_unbalanced,1,ResNet50,Augmix and Fourier,0.738676399369783,0.6304,0,11,1565,885,39,0.43502857142857143,False
58,camelyon_unbalanced,1,ResNet18,Augmix and Fourier,0.8695390605945376,0.9224,1,8,2298,152,42,0.5553877551020409,False
59,camelyon_unbalanced,1,ResNet50,Augmix and Fourier,0.7692868109745316,0.8232,1,11,2047,403,39,0.5484979591836735,False
60,camelyon_unbalanced,0,ResNet50,No Augmentations,0.08566188526006793,0.988,1,46,2424,26,4,0.9932408163265306,False
61,camelyon_unbalanced,1,ResNet50,No Augmentations,0.9294764592306382,0.9608,1,13,2389,61,37,0.8213877551020408,False
62,camelyon_unbalanced,2,ResNet50,No Augmentations,3.0777969111134356,0.9676,1,0,2419,31,50,0.4236979591836735,False
63,camelyon_unbalanced,3,ResNet50,No Augmentations,1.8556837937499904,0.6748,1,32,1655,795,18,0.7085714285714285,False
64,camelyon_unbalanced,0,ResNet50,Augmix,0.10296836697284274,0.9656,1,46,2368,82,4,0.993404081632653,False
65,camelyon_unbalanced,1,ResNet50,Augmix,0.5207017616816808,0.9404,1,22,2329,121,28,0.865338775510204,False
66,camelyon_unbalanced,2,ResNet50,Augmix,1.759792349265912,0.9568,1,0,2392,58,50,0.3822857142857143,False
67,camelyon_unbalanced,3,ResNet50,Augmix,0.8549348661039449,0.7652,1,17,1896,554,33,0.7281469387755102,False
68,camelyon_unbalanced,0,ResNet50,Fourier,0.4755282947157003,0.9172,1,25,2268,182,25,0.8125061224489795,False
69,camelyon_unbalanced,1,ResNet50,Fourier,0.7968639901167229,0.71,1,10,1765,685,40,0.4622204081632653,False
70,camelyon_unbalanced,2,ResNet50,Fourier,0.7710335863919198,0.7676,1,3,1916,534,47,0.4481469387755102,False
71,camelyon_unbalanced,3,ResNet50,Fourier,0.8195319259657136,0.7912,1,15,1963,487,35,0.6326530612244898,False
72,camelyon_unbalanced,0,ResNet50,Jigsaw,0.09640008812369424,0.988,1,48,2422,28,2,0.9950857142857144,False
73,camelyon_unbalanced,1,ResNet50,Jigsaw,0.6614606489863577,0.8936,1,9,2225,225,41,0.7187591836734695,False
74,camelyon_unbalanced,2,ResNet50,Jigsaw,1.8409159295614572,0.944,1,0,2360,90,50,0.4082775510204082,False
75,camelyon_unbalanced,3,ResNet50,Jigsaw,1.3676279728548437,0.7024,1,33,1723,727,17,0.7202775510204081,False
76,camelyon_unbalanced,2,ResNet50,Augmix and Fourier,0.923115498657468,0.802,0,3,2002,448,47,0.40398367346938774,False
77,camelyon_unbalanced,2,ResNet18,Augmix and Fourier,0.6113460665639443,0.9392,1,4,2344,106,46,0.616008163265306,False
78,camelyon_unbalanced,3,ResNet50,Fourier,0.837689835813981,0.454,3,30,1105,1345,20,0.4969469387755102,False
79,camelyon_unbalanced,2,ResNet50,Jigsaw,1.7560925081938128,0.9552,3,0,2388,62,50,0.40970612244897964,False
80,camelyon_unbalanced,0,ResNet18,No Augmentations,0.11251303905654696,0.9892,2,46,2427,23,4,0.9944081632653061,False
81,camelyon_unbalanced,1,ResNet18,No Augmentations,0.8766541090039418,0.968,2,14,2406,44,36,0.862669387755102,False
82,camelyon_unbalanced,2,ResNet18,No Augmentations,3.1148442167315715,0.964,2,0,2410,40,50,0.26976326530612244,False
83,camelyon_unbalanced,3,ResNet18,No Augmentations,1.2555515266058943,0.7196,2,26,1773,677,24,0.727861224489796,False
84,camelyon_unbalanced,0,ResNet18,Augmix,0.39843442951199376,0.7912,2,48,1930,520,2,0.9271755102040816,False
85,camelyon_unbalanced,1,ResNet18,Augmix,0.9508119363962566,0.9464,2,14,2352,98,36,0.7750122448979592,False
86,camelyon_unbalanced,2,ResNet18,Augmix,1.5061222302809925,0.9544,2,1,2385,65,49,0.43934693877551023,False
87,camelyon_unbalanced,3,ResNet18,Augmix,0.8740099610973008,0.7664,2,27,1889,561,23,0.7505551020408162,False
88,camelyon_unbalanced,0,ResNet18,Fourier,0.5797293487983414,0.916,2,19,2271,179,31,0.7320979591836735,False
89,camelyon_unbalanced,1,ResNet18,Fourier,1.2725219586982002,0.95,2,1,2374,76,49,0.4779020408163266,False
90,camelyon_unbalanced,2,ResNet18,Fourier,0.7235683089570154,0.9552,2,0,2388,62,50,0.2814204081632653,False
91,camelyon_unbalanced,3,ResNet18,Fourier,0.6585852831979341,0.784,2,7,1953,497,43,0.552334693877551,False
92,camelyon_unbalanced,0,ResNet18,Jigsaw,0.4830425306760464,0.9764,2,25,2416,34,25,0.9602367346938776,False
93,camelyon_unbalanced,1,ResNet18,Jigsaw,0.935818863278137,0.9712,2,9,2419,31,41,0.786873469387755,False
94,camelyon_unbalanced,2,ResNet18,Jigsaw,1.6415986961720488,0.9588,2,0,2397,53,50,0.28176326530612245,False
95,camelyon_unbalanced,3,ResNet18,Jigsaw,1.2385197213933439,0.7384,2,24,1822,628,26,0.729804081632653,False
96,camelyon_unbalanced,2,ResNet50,Augmix,1.4483155256396607,0.95,3,1,2374,76,49,0.4090775510204082,False
97,camelyon_unbalanced,0,ResNet50,Fourier,0.6439717521395865,0.7984,3,14,1982,468,36,0.6408816326530613,False
98,camelyon_unbalanced,2,ResNet50,Fourier,0.818531451345999,0.728,3,9,1811,639,41,0.43392653061224495,False
99,camelyon_unbalanced,1,ResNet50,Jigsaw,0.5725707355415142,0.9648,3,17,2395,55,33,0.8924244897959184,False
100,camelyon_unbalanced,0,ResNet50,No Augmentations,0.1455983077010134,0.9876,2,48,2421,29,2,0.9914530612244897,False
101,camelyon_unbalanced,1,ResNet50,No Augmentations,0.7637952035145622,0.9768,2,10,2432,18,40,0.8851183673469388,False
102,camelyon_unbalanced,2,ResNet50,No Augmentations,1.387501419863746,0.9688,2,0,2422,28,50,0.4207428571428572,False
103,camelyon_unbalanced,3,ResNet50,No Augmentations,2.0850339471539363,0.6236,2,41,1518,932,9,0.7046775510204081,False
104,camelyon_unbalanced,0,ResNet50,Augmix,0.3485761507284604,0.8844,2,49,2162,288,1,0.9537795918367348,False
105,camelyon_unbalanced,1,ResNet50,Augmix,0.7266199555766734,0.9352,2,14,2324,126,36,0.735591836734694,False
106,camelyon_unbalanced,2,ResNet50,Augmix,1.9985231059968849,0.9684,2,0,2421,29,50,0.3376734693877551,False
107,camelyon_unbalanced,3,ResNet50,Augmix,1.1243201502704923,0.7912,2,14,1964,486,36,0.7075428571428571,False
108,camelyon_unbalanced,2,ResNet50,Augmix and Fourier,0.6965087135381336,0.7452,1,12,1851,599,38,0.529665306122449,False
109,camelyon_unbalanced,3,ResNet50,Augmix and Fourier,0.7507731703263295,0.7032,1,13,1745,705,37,0.5628734693877551,False
110,camelyon_unbalanced,0,ResNet18,Augmix and Fourier,0.4874053397039069,0.8156,2,41,1998,452,9,0.8872734693877551,False
111,camelyon_unbalanced,1,ResNet18,Augmix and Fourier,0.7550600389891033,0.4552,2,23,1115,1335,27,0.47021224489795926,False
112,camelyon_unbalanced,2,ResNet18,Augmix and Fourier,0.7010113819490505,0.8776,2,3,2191,259,47,0.5018775510204081,False
