Current value: 1.8036769953641025, Current params: {'LEARNING_RATE': 0.0006561685350775833, 'BETA_1': 0.8, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.05317802794819221, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'None', 'MOMENTUM': 0.5636555805964596, 'DAMPENING': 0.006583708104647191, 'GAMMA': 0.8039363183324996, 'STEP_SIZE': 40, 'USE_AUGMIX': False, 'SEVERITY': 8, 'MIXTURE_WIDTH': 8, 'CHAIN_DEPTH': 4, 'ALPHA': 0.2056895806429585, 'ALL_OPS': True, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 186, 'ETA': 0.18953351521580775, 'USE_JIGSAW': True, 'MIN_GRID_SIZE': 5, 'MAX_GRID_SIZE': 8, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Augmix,Fourier,Dlow,Jigsaw'}
     Best value: 1.8036769953641025, Best params: {'LEARNING_RATE': 0.0006561685350775833, 'BETA_1': 0.8, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.05317802794819221, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'None', 'MOMENTUM': 0.5636555805964596, 'DAMPENING': 0.006583708104647191, 'GAMMA': 0.8039363183324996, 'STEP_SIZE': 40, 'USE_AUGMIX': False, 'SEVERITY': 8, 'MIXTURE_WIDTH': 8, 'CHAIN_DEPTH': 4, 'ALPHA': 0.2056895806429585, 'ALL_OPS': True, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 186, 'ETA': 0.18953351521580775, 'USE_JIGSAW': True, 'MIN_GRID_SIZE': 5, 'MAX_GRID_SIZE': 8, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Augmix,Fourier,Dlow,Jigsaw'}

#####################################################
Current value: 1.9156848842447454, Current params: {'LEARNING_RATE': 0.00042385800852332744, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.011516456646234975, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.6609579630266343, 'DAMPENING': 0.1605694885699175, 'GAMMA': 0.21277444659389033, 'STEP_SIZE': 17, 'USE_AUGMIX': True, 'SEVERITY': 5, 'MIXTURE_WIDTH': 4, 'CHAIN_DEPTH': 4, 'ALPHA': 0.698886368383658, 'ALL_OPS': False, 'INTERPOLATION': 'NEAREST', 'USE_FOURIER': True, 'SQUARE_SIZE_SINGLE_SIDE': 72, 'ETA': 0.7652187339142369, 'USE_JIGSAW': True, 'MIN_GRID_SIZE': 5, 'MAX_GRID_SIZE': 7, 'USE_DLOW': True, 'TRANSFORMATIONS_ORDER': 'Fourier,Dlow,Augmix,Jigsaw'}
     Best value: 1.8036769953641025, Best params: {'LEARNING_RATE': 0.0006561685350775833, 'BETA_1': 0.8, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.05317802794819221, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'None', 'MOMENTUM': 0.5636555805964596, 'DAMPENING': 0.006583708104647191, 'GAMMA': 0.8039363183324996, 'STEP_SIZE': 40, 'USE_AUGMIX': False, 'SEVERITY': 8, 'MIXTURE_WIDTH': 8, 'CHAIN_DEPTH': 4, 'ALPHA': 0.2056895806429585, 'ALL_OPS': True, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 186, 'ETA': 0.18953351521580775, 'USE_JIGSAW': True, 'MIN_GRID_SIZE': 5, 'MAX_GRID_SIZE': 8, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Augmix,Fourier,Dlow,Jigsaw'}

#####################################################
Current value: 1.9115233854814009, Current params: {'LEARNING_RATE': 0.0005799442626142823, 'BETA_1': 0.8, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.04811412562442416, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'CosineAnnealingLR', 'MOMENTUM': 0.6768623896914929, 'DAMPENING': 0.13650319226737295, 'GAMMA': 0.8981246036308961, 'STEP_SIZE': 15, 'USE_AUGMIX': True, 'SEVERITY': 1, 'MIXTURE_WIDTH': 8, 'CHAIN_DEPTH': 10, 'ALPHA': 0.5863041140286738, 'ALL_OPS': True, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': True, 'SQUARE_SIZE_SINGLE_SIDE': 108, 'ETA': 0.2913436776727877, 'USE_JIGSAW': True, 'MIN_GRID_SIZE': 3, 'MAX_GRID_SIZE': 14, 'USE_DLOW': True, 'TRANSFORMATIONS_ORDER': 'Fourier,Dlow,Augmix,Jigsaw'}
     Best value: 1.8036769953641025, Best params: {'LEARNING_RATE': 0.0006561685350775833, 'BETA_1': 0.8, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.05317802794819221, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'None', 'MOMENTUM': 0.5636555805964596, 'DAMPENING': 0.006583708104647191, 'GAMMA': 0.8039363183324996, 'STEP_SIZE': 40, 'USE_AUGMIX': False, 'SEVERITY': 8, 'MIXTURE_WIDTH': 8, 'CHAIN_DEPTH': 4, 'ALPHA': 0.2056895806429585, 'ALL_OPS': True, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 186, 'ETA': 0.18953351521580775, 'USE_JIGSAW': True, 'MIN_GRID_SIZE': 5, 'MAX_GRID_SIZE': 8, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Augmix,Fourier,Dlow,Jigsaw'}

#####################################################
Current value: 1.8791781122034246, Current params: {'LEARNING_RATE': 0.007074222825124936, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.07219158379126835, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.7117493516534953, 'DAMPENING': 0.009531682821743171, 'GAMMA': 0.4124023340209634, 'STEP_SIZE': 11, 'USE_AUGMIX': False, 'SEVERITY': 1, 'MIXTURE_WIDTH': 6, 'CHAIN_DEPTH': 3, 'ALPHA': 0.17399228796938726, 'ALL_OPS': True, 'INTERPOLATION': 'NEAREST', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 59, 'ETA': 0.40421861666627057, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 2, 'MAX_GRID_SIZE': 11, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Fourier,Augmix,Dlow,Jigsaw'}
     Best value: 1.8036769953641025, Best params: {'LEARNING_RATE': 0.0006561685350775833, 'BETA_1': 0.8, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.05317802794819221, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'None', 'MOMENTUM': 0.5636555805964596, 'DAMPENING': 0.006583708104647191, 'GAMMA': 0.8039363183324996, 'STEP_SIZE': 40, 'USE_AUGMIX': False, 'SEVERITY': 8, 'MIXTURE_WIDTH': 8, 'CHAIN_DEPTH': 4, 'ALPHA': 0.2056895806429585, 'ALL_OPS': True, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 186, 'ETA': 0.18953351521580775, 'USE_JIGSAW': True, 'MIN_GRID_SIZE': 5, 'MAX_GRID_SIZE': 8, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Augmix,Fourier,Dlow,Jigsaw'}

#####################################################
