     Best value: 0.6293645437274661, Best params: {'LEARNING_RATE': 0.0004357747164147133, 'BETA_1': 0.9, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.04992486950580247, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.6909819678493604, 'DAMPENING': 0.16364779725291542, 'GAMMA': 0.2463935427563742, 'STEP_SIZE': 40}

#####################################################
Current value: 2.4792310765811374, Current params: {'LEARNING_RATE': 0.0038399158409797803, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.0064413202939869185, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'CosineAnnealingLR', 'MOMENTUM': 0.7702564532915341, 'DAMPENING': 0.0318993847387258, 'GAMMA': 0.2648274636336785, 'STEP_SIZE': 34}
     Best value: 0.6293645437274661, Best params: {'LEARNING_RATE': 0.0004357747164147133, 'BETA_1': 0.9, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.04992486950580247, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.6909819678493604, 'DAMPENING': 0.16364779725291542, 'GAMMA': 0.2463935427563742, 'STEP_SIZE': 40}

#####################################################
Current value: 2.3523305313927785, Current params: {'LEARNING_RATE': 0.004533705837935301, 'BETA_1': 0.9, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.03253660396994499, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.5581676889634553, 'DAMPENING': 0.03070315223173179, 'GAMMA': 0.6890748961885023, 'STEP_SIZE': 14}
     Best value: 0.6293645437274661, Best params: {'LEARNING_RATE': 0.0004357747164147133, 'BETA_1': 0.9, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.04992486950580247, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.6909819678493604, 'DAMPENING': 0.16364779725291542, 'GAMMA': 0.2463935427563742, 'STEP_SIZE': 40}

#####################################################
Current value: 0.584616910134043, Current params: {'LEARNING_RATE': 0.0006711680801199256, 'BETA_1': 0.9, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.06943266350212605, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.770201925155352, 'DAMPENING': 0.17259933181215917, 'GAMMA': 0.10973744236858174, 'STEP_SIZE': 48}
     Best value: 0.584616910134043, Best params: {'LEARNING_RATE': 0.0006711680801199256, 'BETA_1': 0.9, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.06943266350212605, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.770201925155352, 'DAMPENING': 0.17259933181215917, 'GAMMA': 0.10973744236858174, 'STEP_SIZE': 48}

#####################################################
Current value: 0.5378398788826806, Current params: {'LEARNING_RATE': 0.0002532022051454713, 'BETA_1': 0.9, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.06525091732744893, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.7902863020285766, 'DAMPENING': 0.17867427283510134, 'GAMMA': 0.10324470624488036, 'STEP_SIZE': 50}
     Best value: 0.5378398788826806, Best params: {'LEARNING_RATE': 0.0002532022051454713, 'BETA_1': 0.9, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.06525091732744893, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.7902863020285766, 'DAMPENING': 0.17867427283510134, 'GAMMA': 0.10324470624488036, 'STEP_SIZE': 50}

#####################################################
Current value: 0.6993565112352371, Current params: {'LEARNING_RATE': 8.869339627002801e-05, 'BETA_1': 0.9, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.07161400378635445, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.78798000153091, 'DAMPENING': 0.16042850172806145, 'GAMMA': 0.1061042496574911, 'STEP_SIZE': 48}
     Best value: 0.5378398788826806, Best params: {'LEARNING_RATE': 0.0002532022051454713, 'BETA_1': 0.9, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.06525091732744893, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.7902863020285766, 'DAMPENING': 0.17867427283510134, 'GAMMA': 0.10324470624488036, 'STEP_SIZE': 50}

#####################################################
Current value: 0.6015293587531362, Current params: {'LEARNING_RATE': 0.00220041153155856, 'BETA_1': 0.9, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.07108731472214702, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.7849119158105009, 'DAMPENING': 0.19463207390196088, 'GAMMA': 0.7977293365784655, 'STEP_SIZE': 49}
     Best value: 0.5378398788826806, Best params: {'LEARNING_RATE': 0.0002532022051454713, 'BETA_1': 0.9, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.06525091732744893, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.7902863020285766, 'DAMPENING': 0.17867427283510134, 'GAMMA': 0.10324470624488036, 'STEP_SIZE': 50}

#####################################################
Current value: 0.5737803684813636, Current params: {'LEARNING_RATE': 0.0017797820262411906, 'BETA_1': 0.9, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.0621004902361125, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.8330691990150598, 'DAMPENING': 0.1433283548753763, 'GAMMA': 0.10688527192419617, 'STEP_SIZE': 42}
     Best value: 0.5378398788826806, Best params: {'LEARNING_RATE': 0.0002532022051454713, 'BETA_1': 0.9, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.06525091732744893, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.7902863020285766, 'DAMPENING': 0.17867427283510134, 'GAMMA': 0.10324470624488036, 'STEP_SIZE': 50}

#####################################################
Current value: 0.6181046196392604, Current params: {'LEARNING_RATE': 0.0021990231647471548, 'BETA_1': 0.8, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.08419596740276572, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.8282130970023934, 'DAMPENING': 0.13074202289474338, 'GAMMA': 0.19845403711118503, 'STEP_SIZE': 40}
     Best value: 0.5378398788826806, Best params: {'LEARNING_RATE': 0.0002532022051454713, 'BETA_1': 0.9, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.06525091732744893, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.7902863020285766, 'DAMPENING': 0.17867427283510134, 'GAMMA': 0.10324470624488036, 'STEP_SIZE': 50}

#####################################################
Current value: 0.6508285376642432, Current params: {'LEARNING_RATE': 0.007170238637543059, 'BETA_1': 0.9, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.056844476468801454, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.8344734001292193, 'DAMPENING': 0.1367949685747977, 'GAMMA': 0.5175432637692747, 'STEP_SIZE': 41}
     Best value: 0.5378398788826806, Best params: {'LEARNING_RATE': 0.0002532022051454713, 'BETA_1': 0.9, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.06525091732744893, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.7902863020285766, 'DAMPENING': 0.17867427283510134, 'GAMMA': 0.10324470624488036, 'STEP_SIZE': 50}

#####################################################
Current value: 0.6655475071498326, Current params: {'LEARNING_RATE': 0.001740730640654256, 'BETA_1': 0.9, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.04584662311857507, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.89658845457837, 'DAMPENING': 0.14476531926210973, 'GAMMA': 0.4561427980714464, 'STEP_SIZE': 43}
     Best value: 0.5378398788826806, Best params: {'LEARNING_RATE': 0.0002532022051454713, 'BETA_1': 0.9, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.06525091732744893, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.7902863020285766, 'DAMPENING': 0.17867427283510134, 'GAMMA': 0.10324470624488036, 'STEP_SIZE': 50}

#####################################################
Current value: 0.7043066322803497, Current params: {'LEARNING_RATE': 0.008691325215161817, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.06217711352971848, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.737942411969153, 'DAMPENING': 0.06908706635871673, 'GAMMA': 0.8951713593066497, 'STEP_SIZE': 23}
     Best value: 0.5378398788826806, Best params: {'LEARNING_RATE': 0.0002532022051454713, 'BETA_1': 0.9, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.06525091732744893, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.7902863020285766, 'DAMPENING': 0.17867427283510134, 'GAMMA': 0.10324470624488036, 'STEP_SIZE': 50}

#####################################################
