Current value: 3.2701819133758545, Current params: {'LEARNING_RATE': 0.00027399863907755576, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.06834822099115975, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'None', 'MOMENTUM': 0.5097084034498484, 'DAMPENING': 0.06463468885310893, 'GAMMA': 0.1476921872586341, 'STEP_SIZE': 30, 'USE_AUGMIX': False, 'SEVERITY': 8, 'MIXTURE_WIDTH': 3, 'CHAIN_DEPTH': 4, 'ALPHA': 0.9017879221826847, 'ALL_OPS': False, 'INTERPOLATION': 'NEAREST', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 9, 'ETA': 0.15930056027887085, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 2, 'MAX_GRID_SIZE': 15, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Fourier,Dlow,Augmix,Jigsaw'}
     Best value: 2.0099457263946534, Best params: {'LEARNING_RATE': 0.009450633183704643, 'BETA_1': 0.8, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.06596270702443283, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'CosineAnnealingLR', 'MOMENTUM': 0.8244266235184541, 'DAMPENING': 0.06905487140133378, 'GAMMA': 0.26214460358046354, 'STEP_SIZE': 24, 'USE_AUGMIX': False, 'SEVERITY': 7, 'MIXTURE_WIDTH': 3, 'CHAIN_DEPTH': 3, 'ALPHA': 0.5778619469014522, 'ALL_OPS': True, 'INTERPOLATION': 'NEAREST', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 63, 'ETA': 0.8397893647601874, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 5, 'MAX_GRID_SIZE': 9, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Fourier,Augmix,Dlow,Jigsaw'}

#####################################################
Current value: 2.0251987981796264, Current params: {'LEARNING_RATE': 0.0020159580392874006, 'BETA_1': 0.9, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.018575233650392108, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.5608594796876265, 'DAMPENING': 0.1352325524658444, 'GAMMA': 0.8857315158730693, 'STEP_SIZE': 14, 'USE_AUGMIX': True, 'SEVERITY': 7, 'MIXTURE_WIDTH': 2, 'CHAIN_DEPTH': 2, 'ALPHA': 0.06721335891349955, 'ALL_OPS': False, 'INTERPOLATION': 'NEAREST', 'USE_FOURIER': True, 'SQUARE_SIZE_SINGLE_SIDE': 120, 'ETA': 0.1901667797477773, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 6, 'MAX_GRID_SIZE': 14, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Augmix,Dlow,Fourier,Jigsaw'}
     Best value: 2.0099457263946534, Best params: {'LEARNING_RATE': 0.009450633183704643, 'BETA_1': 0.8, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.06596270702443283, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'CosineAnnealingLR', 'MOMENTUM': 0.8244266235184541, 'DAMPENING': 0.06905487140133378, 'GAMMA': 0.26214460358046354, 'STEP_SIZE': 24, 'USE_AUGMIX': False, 'SEVERITY': 7, 'MIXTURE_WIDTH': 3, 'CHAIN_DEPTH': 3, 'ALPHA': 0.5778619469014522, 'ALL_OPS': True, 'INTERPOLATION': 'NEAREST', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 63, 'ETA': 0.8397893647601874, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 5, 'MAX_GRID_SIZE': 9, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Fourier,Augmix,Dlow,Jigsaw'}

#####################################################
Current value: 2.2133519649505615, Current params: {'LEARNING_RATE': 0.0008488149933314814, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.012951015100321862, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'CosineAnnealingLR', 'MOMENTUM': 0.7808261174988833, 'DAMPENING': 0.16607400421839852, 'GAMMA': 0.8087222098395489, 'STEP_SIZE': 25, 'USE_AUGMIX': True, 'SEVERITY': 3, 'MIXTURE_WIDTH': 1, 'CHAIN_DEPTH': 4, 'ALPHA': 0.006951061336294195, 'ALL_OPS': False, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 39, 'ETA': 0.19726124440275183, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 3, 'MAX_GRID_SIZE': 12, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Dlow,Fourier,Augmix,Jigsaw'}
     Best value: 2.0099457263946534, Best params: {'LEARNING_RATE': 0.009450633183704643, 'BETA_1': 0.8, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.06596270702443283, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'CosineAnnealingLR', 'MOMENTUM': 0.8244266235184541, 'DAMPENING': 0.06905487140133378, 'GAMMA': 0.26214460358046354, 'STEP_SIZE': 24, 'USE_AUGMIX': False, 'SEVERITY': 7, 'MIXTURE_WIDTH': 3, 'CHAIN_DEPTH': 3, 'ALPHA': 0.5778619469014522, 'ALL_OPS': True, 'INTERPOLATION': 'NEAREST', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 63, 'ETA': 0.8397893647601874, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 5, 'MAX_GRID_SIZE': 9, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Fourier,Augmix,Dlow,Jigsaw'}

#####################################################
Current value: 1.8863625240325927, Current params: {'LEARNING_RATE': 0.0013893337234740133, 'BETA_1': 0.9, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.03031477928973582, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'CosineAnnealingLR', 'MOMENTUM': 0.8834619880097645, 'DAMPENING': 0.022926067390959193, 'GAMMA': 0.6042850320455113, 'STEP_SIZE': 33, 'USE_AUGMIX': False, 'SEVERITY': 4, 'MIXTURE_WIDTH': 8, 'CHAIN_DEPTH': 8, 'ALPHA': 0.9816444086214806, 'ALL_OPS': False, 'INTERPOLATION': 'NEAREST', 'USE_FOURIER': True, 'SQUARE_SIZE_SINGLE_SIDE': 174, 'ETA': 0.6098605751464224, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 5, 'MAX_GRID_SIZE': 10, 'USE_DLOW': True, 'TRANSFORMATIONS_ORDER': 'Fourier,Dlow,Augmix,Jigsaw'}
     Best value: 1.8863625240325927, Best params: {'LEARNING_RATE': 0.0013893337234740133, 'BETA_1': 0.9, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.03031477928973582, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'CosineAnnealingLR', 'MOMENTUM': 0.8834619880097645, 'DAMPENING': 0.022926067390959193, 'GAMMA': 0.6042850320455113, 'STEP_SIZE': 33, 'USE_AUGMIX': False, 'SEVERITY': 4, 'MIXTURE_WIDTH': 8, 'CHAIN_DEPTH': 8, 'ALPHA': 0.9816444086214806, 'ALL_OPS': False, 'INTERPOLATION': 'NEAREST', 'USE_FOURIER': True, 'SQUARE_SIZE_SINGLE_SIDE': 174, 'ETA': 0.6098605751464224, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 5, 'MAX_GRID_SIZE': 10, 'USE_DLOW': True, 'TRANSFORMATIONS_ORDER': 'Fourier,Dlow,Augmix,Jigsaw'}

#####################################################
