Current value: 2.2716087124177387, Current params: {'LEARNING_RATE': 0.0009628929907147907, 'BETA_1': 0.8, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.08184729585272837, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'CosineAnnealingLR', 'MOMENTUM': 0.8283356111601916, 'DAMPENING': 0.07185176536174208, 'GAMMA': 0.6749252369300427, 'STEP_SIZE': 39, 'USE_AUGMIX': False, 'SEVERITY': 8, 'MIXTURE_WIDTH': 10, 'CHAIN_DEPTH': 10, 'ALPHA': 0.5802883102446749, 'ALL_OPS': False, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': True, 'SQUARE_SIZE_SINGLE_SIDE': 45, 'ETA': 0.06156945591817897, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 3, 'MAX_GRID_SIZE': 14, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Dlow,Fourier,Augmix,Jigsaw'}
     Best value: 0.59178469649383, Best params: {'LEARNING_RATE': 0.0036893558566641997, 'BETA_1': 0.8, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.04665014509025392, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'CosineAnnealingLR', 'MOMENTUM': 0.6343436978155912, 'DAMPENING': 0.09079840266974798, 'GAMMA': 0.5838996413587274, 'STEP_SIZE': 33, 'USE_AUGMIX': True, 'SEVERITY': 1, 'MIXTURE_WIDTH': 6, 'CHAIN_DEPTH': 9, 'ALPHA': 0.6196621108474828, 'ALL_OPS': True, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 129, 'ETA': 0.22145355507184894, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 5, 'MAX_GRID_SIZE': 14, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Fourier,Augmix,Dlow,Jigsaw'}

#####################################################
Current value: 1.9465997900281633, Current params: {'LEARNING_RATE': 0.0056017353378107326, 'BETA_1': 0.8, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.09017251403920402, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.6944992167117429, 'DAMPENING': 0.19065917895253823, 'GAMMA': 0.6111374137961715, 'STEP_SIZE': 12, 'USE_AUGMIX': True, 'SEVERITY': 5, 'MIXTURE_WIDTH': 7, 'CHAIN_DEPTH': 3, 'ALPHA': 0.40942437566571754, 'ALL_OPS': False, 'INTERPOLATION': 'NEAREST', 'USE_FOURIER': True, 'SQUARE_SIZE_SINGLE_SIDE': 189, 'ETA': 0.44669546069178867, 'USE_JIGSAW': True, 'MIN_GRID_SIZE': 4, 'MAX_GRID_SIZE': 13, 'USE_DLOW': True, 'TRANSFORMATIONS_ORDER': 'Augmix,Fourier,Dlow,Jigsaw'}
     Best value: 0.59178469649383, Best params: {'LEARNING_RATE': 0.0036893558566641997, 'BETA_1': 0.8, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.04665014509025392, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'CosineAnnealingLR', 'MOMENTUM': 0.6343436978155912, 'DAMPENING': 0.09079840266974798, 'GAMMA': 0.5838996413587274, 'STEP_SIZE': 33, 'USE_AUGMIX': True, 'SEVERITY': 1, 'MIXTURE_WIDTH': 6, 'CHAIN_DEPTH': 9, 'ALPHA': 0.6196621108474828, 'ALL_OPS': True, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 129, 'ETA': 0.22145355507184894, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 5, 'MAX_GRID_SIZE': 14, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Fourier,Augmix,Dlow,Jigsaw'}

#####################################################
Current value: 1.736516339438302, Current params: {'LEARNING_RATE': 0.0009417434556608436, 'BETA_1': 0.9, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.04436438583293324, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.6898821719521212, 'DAMPENING': 0.18084236442621626, 'GAMMA': 0.1151419304205251, 'STEP_SIZE': 15, 'USE_AUGMIX': True, 'SEVERITY': 8, 'MIXTURE_WIDTH': 1, 'CHAIN_DEPTH': 1, 'ALPHA': 0.991638015164938, 'ALL_OPS': True, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 54, 'ETA': 0.1409128760102486, 'USE_JIGSAW': True, 'MIN_GRID_SIZE': 5, 'MAX_GRID_SIZE': 15, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Fourier,Augmix,Dlow,Jigsaw'}
     Best value: 0.59178469649383, Best params: {'LEARNING_RATE': 0.0036893558566641997, 'BETA_1': 0.8, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.04665014509025392, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'CosineAnnealingLR', 'MOMENTUM': 0.6343436978155912, 'DAMPENING': 0.09079840266974798, 'GAMMA': 0.5838996413587274, 'STEP_SIZE': 33, 'USE_AUGMIX': True, 'SEVERITY': 1, 'MIXTURE_WIDTH': 6, 'CHAIN_DEPTH': 9, 'ALPHA': 0.6196621108474828, 'ALL_OPS': True, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 129, 'ETA': 0.22145355507184894, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 5, 'MAX_GRID_SIZE': 14, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Fourier,Augmix,Dlow,Jigsaw'}

#####################################################
Current value: 1.9673649753843034, Current params: {'LEARNING_RATE': 0.008830138761146454, 'BETA_1': 0.9, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.04049381228330928, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6297736450710222, 'DAMPENING': 0.12660004283405052, 'GAMMA': 0.24857677646009657, 'STEP_SIZE': 49, 'USE_AUGMIX': False, 'SEVERITY': 8, 'MIXTURE_WIDTH': 9, 'CHAIN_DEPTH': 8, 'ALPHA': 0.21123693246990938, 'ALL_OPS': True, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': True, 'SQUARE_SIZE_SINGLE_SIDE': 193, 'ETA': 0.6800906845273437, 'USE_JIGSAW': True, 'MIN_GRID_SIZE': 6, 'MAX_GRID_SIZE': 11, 'USE_DLOW': True, 'TRANSFORMATIONS_ORDER': 'Fourier,Augmix,Dlow,Jigsaw'}
     Best value: 0.59178469649383, Best params: {'LEARNING_RATE': 0.0036893558566641997, 'BETA_1': 0.8, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.04665014509025392, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'CosineAnnealingLR', 'MOMENTUM': 0.6343436978155912, 'DAMPENING': 0.09079840266974798, 'GAMMA': 0.5838996413587274, 'STEP_SIZE': 33, 'USE_AUGMIX': True, 'SEVERITY': 1, 'MIXTURE_WIDTH': 6, 'CHAIN_DEPTH': 9, 'ALPHA': 0.6196621108474828, 'ALL_OPS': True, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 129, 'ETA': 0.22145355507184894, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 5, 'MAX_GRID_SIZE': 14, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Fourier,Augmix,Dlow,Jigsaw'}

#####################################################
Current value: 2.1108942372458324, Current params: {'LEARNING_RATE': 0.000909330940420341, 'BETA_1': 0.9, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.06649004062240464, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.7826398291916372, 'DAMPENING': 0.029968894121969417, 'GAMMA': 0.10347019198036529, 'STEP_SIZE': 19, 'USE_AUGMIX': True, 'SEVERITY': 6, 'MIXTURE_WIDTH': 8, 'CHAIN_DEPTH': 9, 'ALPHA': 0.5504022537491559, 'ALL_OPS': False, 'INTERPOLATION': 'NEAREST', 'USE_FOURIER': True, 'SQUARE_SIZE_SINGLE_SIDE': 57, 'ETA': 0.6854746585955558, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 6, 'MAX_GRID_SIZE': 9, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Fourier,Dlow,Augmix,Jigsaw'}
