Current value: 1.8896318565715442, Current params: {'LEARNING_RATE': 0.0029011381311878108, 'BETA_1': 0.8, 'BETA_2': 0.999, 'BATCH_SIZE': 16, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.7910123553207038, 'DAMPENING': 0.1169086302665591, 'GAMMA': 0.43646722581689656, 'STEP_SIZE': 48}
     Best value: 1.7268779940075345, Best params: {'LEARNING_RATE': 0.0069362391485589606, 'BETA_1': 0.95, 'BETA_2': 0.99, 'BATCH_SIZE': 16, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.7981891673311838, 'DAMPENING': 0.018133200461425792, 'GAMMA': 0.46697415172480217, 'STEP_SIZE': 35}

#####################################################
Current value: 1.7259311492626483, Current params: {'LEARNING_RATE': 0.003472130760749934, 'BETA_1': 0.95, 'BETA_2': 0.99, 'BATCH_SIZE': 128, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.8387233363029631, 'DAMPENING': 0.06648634842623305, 'GAMMA': 0.7141488387521735, 'STEP_SIZE': 47}
     Best value: 1.7259311492626483, Best params: {'LEARNING_RATE': 0.003472130760749934, 'BETA_1': 0.95, 'BETA_2': 0.99, 'BATCH_SIZE': 128, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.8387233363029631, 'DAMPENING': 0.06648634842623305, 'GAMMA': 0.7141488387521735, 'STEP_SIZE': 47}

#####################################################
Current value: 1.6631765025002616, Current params: {'LEARNING_RATE': 0.005068701675267783, 'BETA_1': 0.9, 'BETA_2': 0.99, 'BATCH_SIZE': 256, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6428883623888181, 'DAMPENING': 0.13550875067767426, 'GAMMA': 0.1095328654414282, 'STEP_SIZE': 42}
     Best value: 1.6631765025002616, Best params: {'LEARNING_RATE': 0.005068701675267783, 'BETA_1': 0.9, 'BETA_2': 0.99, 'BATCH_SIZE': 256, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6428883623888181, 'DAMPENING': 0.13550875067767426, 'GAMMA': 0.1095328654414282, 'STEP_SIZE': 42}

#####################################################
Current value: 1.7574219873973302, Current params: {'LEARNING_RATE': 0.004380410641456748, 'BETA_1': 0.9, 'BETA_2': 0.99, 'BATCH_SIZE': 256, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.5923023193404365, 'DAMPENING': 0.14239190041831448, 'GAMMA': 0.16708547302981153, 'STEP_SIZE': 41}
     Best value: 1.6631765025002616, Best params: {'LEARNING_RATE': 0.005068701675267783, 'BETA_1': 0.9, 'BETA_2': 0.99, 'BATCH_SIZE': 256, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6428883623888181, 'DAMPENING': 0.13550875067767426, 'GAMMA': 0.1095328654414282, 'STEP_SIZE': 42}

#####################################################
Current value: 1.822383165359497, Current params: {'LEARNING_RATE': 0.00570228850720449, 'BETA_1': 0.9, 'BETA_2': 0.99, 'BATCH_SIZE': 256, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6462543262108489, 'DAMPENING': 0.15026481718237703, 'GAMMA': 0.6432779183801607, 'STEP_SIZE': 43}
     Best value: 1.6631765025002616, Best params: {'LEARNING_RATE': 0.005068701675267783, 'BETA_1': 0.9, 'BETA_2': 0.99, 'BATCH_SIZE': 256, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6428883623888181, 'DAMPENING': 0.13550875067767426, 'GAMMA': 0.1095328654414282, 'STEP_SIZE': 42}

#####################################################
Current value: 1.6827379976000105, Current params: {'LEARNING_RATE': 0.005283388513786018, 'BETA_1': 0.95, 'BETA_2': 0.99, 'BATCH_SIZE': 256, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.7262780009318859, 'DAMPENING': 0.12561281465748902, 'GAMMA': 0.18713554366421298, 'STEP_SIZE': 49}
