Val set other domain


     Best value: 1.8668110072612762, Best params: {'LEARNING_RATE': 0.0026891247987707654, 'BETA_1': 0.8, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.03791201886859528, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'CosineAnnealingLR', 'MOMENTUM': 0.6788467693761142, 'DAMPENING': 0.04508584022977689, 'GAMMA': 0.20600850679525823, 'STEP_SIZE': 39}

#####################################################
Current value: 1.9361634850502014, Current params: {'LEARNING_RATE': 0.007810732352251323, 'BETA_1': 0.8, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.04351737450278066, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.5139904593879085, 'DAMPENING': 0.04926407214715498, 'GAMMA': 0.5126540346883982, 'STEP_SIZE': 42}
     Best value: 1.8668110072612762, Best params: {'LEARNING_RATE': 0.0026891247987707654, 'BETA_1': 0.8, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.03791201886859528, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'CosineAnnealingLR', 'MOMENTUM': 0.6788467693761142, 'DAMPENING': 0.04508584022977689, 'GAMMA': 0.20600850679525823, 'STEP_SIZE': 39}

#####################################################
Current value: 2.04006727039814, Current params: {'LEARNING_RATE': 0.005630534073872473, 'BETA_1': 0.9, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.00010608459370102797, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.7386778872110789, 'DAMPENING': 0.16790045253131824, 'GAMMA': 0.2260979196807087, 'STEP_SIZE': 12}
     Best value: 1.8668110072612762, Best params: {'LEARNING_RATE': 0.0026891247987707654, 'BETA_1': 0.8, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.03791201886859528, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'CosineAnnealingLR', 'MOMENTUM': 0.6788467693761142, 'DAMPENING': 0.04508584022977689, 'GAMMA': 0.20600850679525823, 'STEP_SIZE': 39}

#####################################################
Current value: 1.980355717241764, Current params: {'LEARNING_RATE': 0.0035253025850245454, 'BETA_1': 0.8, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.02587856365368102, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'CosineAnnealingLR', 'MOMENTUM': 0.7933095090156412, 'DAMPENING': 0.016281751590887378, 'GAMMA': 0.3198162066410265, 'STEP_SIZE': 50}
     Best value: 1.8668110072612762, Best params: {'LEARNING_RATE': 0.0026891247987707654, 'BETA_1': 0.8, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.03791201886859528, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'CosineAnnealingLR', 'MOMENTUM': 0.6788467693761142, 'DAMPENING': 0.04508584022977689, 'GAMMA': 0.20600850679525823, 'STEP_SIZE': 39}

#####################################################
Current value: 1.8207276239991188, Current params: {'LEARNING_RATE': 0.008767384168402595, 'BETA_1': 0.8, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.09487890051991603, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'CosineAnnealingLR', 'MOMENTUM': 0.5659967585825683, 'DAMPENING': 0.07707689788054345, 'GAMMA': 0.36398318783424366, 'STEP_SIZE': 33}
     Best value: 1.8207276239991188, Best params: {'LEARNING_RATE': 0.008767384168402595, 'BETA_1': 0.8, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.09487890051991603, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'CosineAnnealingLR', 'MOMENTUM': 0.5659967585825683, 'DAMPENING': 0.07707689788054345, 'GAMMA': 0.36398318783424366, 'STEP_SIZE': 33}

#####################################################
Current value: 1.886608898639679, Current params: {'LEARNING_RATE': 0.00964360164753127, 'BETA_1': 0.8, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.09875217157162909, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'CosineAnnealingLR', 'MOMENTUM': 0.5151645797554426, 'DAMPENING': 0.03297343285329452, 'GAMMA': 0.3448519270814878, 'STEP_SIZE': 25}
