     Best value: 1.9376245481627328, Best params: {'LEARNING_RATE': 0.004441528765814494, 'BETA_1': 0.8, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.05863085172845093, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.8088957740666353, 'DAMPENING': 0.12398943250859547, 'GAMMA': 0.34266961989579753, 'STEP_SIZE': 47}

#####################################################
Current value: 2.086937129497528, Current params: {'LEARNING_RATE': 0.005943167097392322, 'BETA_1': 0.8, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.06304814655547011, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'CosineAnnealingLR', 'MOMENTUM': 0.5525336249827312, 'DAMPENING': 0.14942503364068363, 'GAMMA': 0.15929769268045213, 'STEP_SIZE': 12}
     Best value: 1.9376245481627328, Best params: {'LEARNING_RATE': 0.004441528765814494, 'BETA_1': 0.8, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.05863085172845093, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.8088957740666353, 'DAMPENING': 0.12398943250859547, 'GAMMA': 0.34266961989579753, 'STEP_SIZE': 47}

#####################################################
Current value: 1.9787194217954363, Current params: {'LEARNING_RATE': 0.006365537560798279, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.05312613646423127, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'CosineAnnealingLR', 'MOMENTUM': 0.8186257143941686, 'DAMPENING': 0.08025392778562904, 'GAMMA': 0.2492976516196218, 'STEP_SIZE': 44}
     Best value: 1.9376245481627328, Best params: {'LEARNING_RATE': 0.004441528765814494, 'BETA_1': 0.8, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.05863085172845093, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.8088957740666353, 'DAMPENING': 0.12398943250859547, 'GAMMA': 0.34266961989579753, 'STEP_SIZE': 47}

#####################################################
Current value: 2.1108138050351823, Current params: {'LEARNING_RATE': 0.00013709696006451895, 'BETA_1': 0.8, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.08788524673349747, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.8944986958087111, 'DAMPENING': 0.18826985310440225, 'GAMMA': 0.33747320685452414, 'STEP_SIZE': 49}
     Best value: 1.9376245481627328, Best params: {'LEARNING_RATE': 0.004441528765814494, 'BETA_1': 0.8, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.05863085172845093, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.8088957740666353, 'DAMPENING': 0.12398943250859547, 'GAMMA': 0.34266961989579753, 'STEP_SIZE': 47}

#####################################################
Current value: 2.0166573098727634, Current params: {'LEARNING_RATE': 0.00991045868471849, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.07242200508263366, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.829001230291321, 'DAMPENING': 0.06970357840528633, 'GAMMA': 0.22849189991027175, 'STEP_SIZE': 41}
     Best value: 1.9376245481627328, Best params: {'LEARNING_RATE': 0.004441528765814494, 'BETA_1': 0.8, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.05863085172845093, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.8088957740666353, 'DAMPENING': 0.12398943250859547, 'GAMMA': 0.34266961989579753, 'STEP_SIZE': 47}

#####################################################
Current value: 2.2291137831551686, Current params: {'LEARNING_RATE': 0.005662573557588754, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.04130329121958104, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.6308253031870256, 'DAMPENING': 0.02876334947875428, 'GAMMA': 0.2575627526113382, 'STEP_SIZE': 50}
     Best value: 1.9376245481627328, Best params: {'LEARNING_RATE': 0.004441528765814494, 'BETA_1': 0.8, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.05863085172845093, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.8088957740666353, 'DAMPENING': 0.12398943250859547, 'GAMMA': 0.34266961989579753, 'STEP_SIZE': 47}

#####################################################
Current value: 1.8561911753245763, Current params: {'LEARNING_RATE': 0.007627529338819347, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.07420820891928959, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.8251404291469806, 'DAMPENING': 0.15501054225145905, 'GAMMA': 0.10119196182187912, 'STEP_SIZE': 39}
     Best value: 1.8561911753245763, Best params: {'LEARNING_RATE': 0.007627529338819347, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.07420820891928959, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.8251404291469806, 'DAMPENING': 0.15501054225145905, 'GAMMA': 0.10119196182187912, 'STEP_SIZE': 39}

#####################################################
Current value: 1.7902796098164149, Current params: {'LEARNING_RATE': 0.008324050355235, 'BETA_1': 0.9, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.07813724665584183, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.8999018522440565, 'DAMPENING': 0.15738962447031105, 'GAMMA': 0.10223896606120997, 'STEP_SIZE': 37}
     Best value: 1.7902796098164149, Best params: {'LEARNING_RATE': 0.008324050355235, 'BETA_1': 0.9, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.07813724665584183, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.8999018522440565, 'DAMPENING': 0.15738962447031105, 'GAMMA': 0.10223896606120997, 'STEP_SIZE': 37}

#####################################################
Current value: 1.9096189652170454, Current params: {'LEARNING_RATE': 0.008735578660763408, 'BETA_1': 0.9, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.07985914784942458, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.8961291486753649, 'DAMPENING': 0.16028187839635924, 'GAMMA': 0.13735144596488333, 'STEP_SIZE': 36}
     Best value: 1.7902796098164149, Best params: {'LEARNING_RATE': 0.008324050355235, 'BETA_1': 0.9, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.07813724665584183, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.8999018522440565, 'DAMPENING': 0.15738962447031105, 'GAMMA': 0.10223896606120997, 'STEP_SIZE': 37}

#####################################################
Current value: 1.9204538294247218, Current params: {'LEARNING_RATE': 0.007839710678307996, 'BETA_1': 0.9, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.09623162059246351, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.8739694306086878, 'DAMPENING': 0.16119594546383703, 'GAMMA': 0.11666537179515202, 'STEP_SIZE': 5}
     Best value: 1.7902796098164149, Best params: {'LEARNING_RATE': 0.008324050355235, 'BETA_1': 0.9, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.07813724665584183, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.8999018522440565, 'DAMPENING': 0.15738962447031105, 'GAMMA': 0.10223896606120997, 'STEP_SIZE': 37}

#####################################################
