Current value: 2.0580389499664307, Current params: {'LEARNING_RATE': 0.0025784502387303284, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.027736338598611965, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'CosineAnnealingLR', 'MOMENTUM': 0.8818659855238637, 'DAMPENING': 0.052181002020249605, 'GAMMA': 0.6173172098963999, 'STEP_SIZE': 13, 'USE_AUGMIX': False, 'SEVERITY': 2, 'MIXTURE_WIDTH': 6, 'CHAIN_DEPTH': 2, 'ALPHA': 0.2672971162418504, 'ALL_OPS': True, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': True, 'SQUARE_SIZE_SINGLE_SIDE': 115, 'ETA': 0.1437814302849113, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 4, 'MAX_GRID_SIZE': 13, 'USE_DLOW': True, 'TRANSFORMATIONS_ORDER': 'Dlow,Augmix,Fourier,Jigsaw'}
     Best value: 1.977986067533493, Best params: {'LEARNING_RATE': 0.0051401320716617524, 'BETA_1': 0.9, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.08316091240176493, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.7049659365749656, 'DAMPENING': 0.07493422883881871, 'GAMMA': 0.1323767328406742, 'STEP_SIZE': 15, 'USE_AUGMIX': True, 'SEVERITY': 3, 'MIXTURE_WIDTH': 7, 'CHAIN_DEPTH': 6, 'ALPHA': 0.9267421064534407, 'ALL_OPS': True, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 136, 'ETA': 0.25277606339217007, 'USE_JIGSAW': True, 'MIN_GRID_SIZE': 2, 'MAX_GRID_SIZE': 9, 'USE_DLOW': True, 'TRANSFORMATIONS_ORDER': 'Dlow,Augmix,Fourier,Jigsaw'}

#####################################################
Current value: 1.780311681330204, Current params: {'LEARNING_RATE': 0.004392540164711461, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.09164210494338199, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6624507924590248, 'DAMPENING': 0.037499376205614346, 'GAMMA': 0.6499456996900029, 'STEP_SIZE': 26, 'USE_AUGMIX': False, 'SEVERITY': 6, 'MIXTURE_WIDTH': 3, 'CHAIN_DEPTH': 4, 'ALPHA': 0.26314608445181586, 'ALL_OPS': True, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 164, 'ETA': 0.039979223422058396, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 2, 'MAX_GRID_SIZE': 8, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Dlow,Fourier,Augmix,Jigsaw'}
     Best value: 1.780311681330204, Best params: {'LEARNING_RATE': 0.004392540164711461, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.09164210494338199, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6624507924590248, 'DAMPENING': 0.037499376205614346, 'GAMMA': 0.6499456996900029, 'STEP_SIZE': 26, 'USE_AUGMIX': False, 'SEVERITY': 6, 'MIXTURE_WIDTH': 3, 'CHAIN_DEPTH': 4, 'ALPHA': 0.26314608445181586, 'ALL_OPS': True, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 164, 'ETA': 0.039979223422058396, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 2, 'MAX_GRID_SIZE': 8, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Dlow,Fourier,Augmix,Jigsaw'}

#####################################################
Current value: 1.9738243371248245, Current params: {'LEARNING_RATE': 0.008474004553990347, 'BETA_1': 0.9, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.07228599732862206, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6333666484744285, 'DAMPENING': 0.18549296636079207, 'GAMMA': 0.19632560234177793, 'STEP_SIZE': 5, 'USE_AUGMIX': False, 'SEVERITY': 3, 'MIXTURE_WIDTH': 8, 'CHAIN_DEPTH': 9, 'ALPHA': 0.495285929097111, 'ALL_OPS': True, 'INTERPOLATION': 'NEAREST', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 25, 'ETA': 0.5740766511204796, 'USE_JIGSAW': True, 'MIN_GRID_SIZE': 4, 'MAX_GRID_SIZE': 9, 'USE_DLOW': True, 'TRANSFORMATIONS_ORDER': 'Augmix,Fourier,Dlow,Jigsaw'}
     Best value: 1.780311681330204, Best params: {'LEARNING_RATE': 0.004392540164711461, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.09164210494338199, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6624507924590248, 'DAMPENING': 0.037499376205614346, 'GAMMA': 0.6499456996900029, 'STEP_SIZE': 26, 'USE_AUGMIX': False, 'SEVERITY': 6, 'MIXTURE_WIDTH': 3, 'CHAIN_DEPTH': 4, 'ALPHA': 0.26314608445181586, 'ALL_OPS': True, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 164, 'ETA': 0.039979223422058396, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 2, 'MAX_GRID_SIZE': 8, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Dlow,Fourier,Augmix,Jigsaw'}

#####################################################
